course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
6.002x,9,5,Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",1,1,36105,5431,3003,83.2,8.17,28.97,418.94,64.45,26,88.28,11.72,60.68,MITx,NA,NA,NA,NA
6.00x,9,26,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,1,1,62709,8949,5783,89.14,14.38,39.5,884.04,78.53,28,83.5,16.5,63.04,MITx,NA,NA,NA,NA
3.091x,10,9,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",1,1,16663,2855,2082,87.49,14.42,34.89,227.55,61.28,27,70.32,29.68,58.76,MITx,NA,NA,NA,NA
CS50x,10,15,Introduction to Computer Science,"David Malan, Nate Hardison, Rob Bowden, Tommy MacWilliam, Zamyla Chan",Computer Science,1,1,129400,12888,1439,0,0,1.11,220.9,0,28,80.02,19.98,58.78,HarvardX,NA,NA,NA,NA
PH207x,10,15,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano","Government, Health, and Social Science",1,1,52521,10729,5058,77.45,15.98,32.52,804.41,76.1,32,56.78,43.22,88.33,HarvardX,NA,NA,NA,NA
6.00x,2,4,Introduction to Computer Science and Programming,Larry Rudolph,Computer Science,1,1,65380,6473,3313,82.43,10.3,28.9,639.4,84.14,27,83.99,16.01,60.9,NA,MITx,NA,NA,NA
3.091x,2,5,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",1,1,8270,838,547,80.25,10.22,23.49,68.11,59.29,27,73.3,26.7,58.99,NA,MITx,NA,NA,NA
14.73x,2,12,The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",1,1,29044,6510,4607,83.24,13.89,39.38,279.22,40.3,30,53.76,46.24,81.94,NA,MITx,NA,NA,NA
8.02x,2,18,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",1,1,39178,3543,1722,85.3,5.86,16.04,380.35,107.88,26,85.42,14.58,56.97,NA,MITx,NA,NA,NA
ER22x,3,2,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",1,1,58779,9425,5438,NA,21.86,20.98,186.61,13.67,30,60.42,39.58,69.78,NA,HarvardX,NA,NA,NA
6.002x,3,3,Circuits and Electronics,Tania Khanna,"Science, Technology, Engineering, and Mathematics",1,1,16752,1769,1103,83.55,5.68,22.47,148.54,59.39,25,88.88,11.12,59.51,NA,MITx,NA,NA,NA
7.00x,3,5,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",1,1,28535,6109,3242,84.62,33.14,38.85,476.84,72.8,30,57.79,42.21,68.15,NA,MITx,NA,NA,NA
CB22x,3,13,The Ancient Greek Hero,"Greg Nagy, L.Muellner","Humanities, History, Design, Religion, and Education",1,1,25873,1803,1395,77.05,13.76,18.05,140.72,46.26,32,53.31,46.69,71.95,NA,HarvardX,NA,NA,NA
2.01x,4,15,Elements of Structures,"Simona Socrate, Alexie Kolpak","Science, Technology, Engineering, and Mathematics",1,1,8736,1705,817,81.82,11.42,29.98,84.75,52.13,27,86.22,13.78,64.45,NA,MITx,NA,NA,NA
PH278x,5,15,Human Health and Global Environmental Change,"Aaron Bernstein, Jack Spengler","Government, Health, and Social Science",1,1,23179,3727,2743,85.35,14.48,29.01,110.67,21.69,30,51.15,48.85,75.19,NA,HarvardX,NA,NA,NA
8.MREV,6,1,Mechanics ReView,"David Pritchard, Colin Fredericks","Science, Technology, Engineering, and Mathematics",1,1,15350,1388,1033,10.96,8.48,24.07,145.95,68.48,26,84.53,15.47,54.43,NA,MITx,NA,NA,NA
3.091x,9,1,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",2,1,11961,869,382,79.57,6.92,23.84,95.14,77.45,26,73.59,26.41,54.64,NA,MITx,NA,NA,NA
CB22.1x,9,3,The Ancient Greek Hero,Greg Nagy,"Humanities, History, Design, Religion, and Education",2,1,17604,1260,728,68.77,6.59,14.96,65.56,22.1,31,52.11,47.89,68.75,NA,HarvardX,NA,NA,NA
8.01x,9,9,Classical Mechanics,Walter Lewin,"Science, Technology, Engineering, and Mathematics",2,1,35903,4051,1822,78.02,10.27,25.93,452.55,111.34,25,83.26,16.74,51.75,NA,MITx,NA,NA,NA
7.00x,9,10,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",2,1,24707,4104,2086,80.54,16.88,31.57,331,69.36,28,56.69,43.31,62.45,NA,MITx,NA,NA,NA
3.086x,9,16,Innovation and Commercialization,Gene Fitzgerald,"Government, Health, and Social Science",2,1,25619,1727,616,68.34,10.58,27.94,101.36,45.18,30,79.14,20.86,77.42,NA,MITx,NA,NA,NA
4.605x,9,17,Global Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",2,1,17077,2430,1486,65.15,10.72,30.88,138.94,48.99,31,51.95,48.05,74.02,NA,MITx,NA,NA,NA
HKS211.1x,10,1,"Central Challenges in American National Security, Strategy and the Press: An Introduction","Graham Allison, David Sanger","Government, Health, and Social Science",2,0,5857,1393,0,63.1,9.66,35.89,12.57,0,30,66.49,33.51,73.1,NA,HarvardX,NA,NA,NA
24.00x,10,1,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",2,1,34371,5554,1893,73.84,22.16,45.27,154.23,27.25,31,64.25,35.75,65,NA,MITx,NA,NA,NA
SPU27x,10,8,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",2,1,60555,7195,1846,75.48,10.78,17.32,399.77,70.66,33,49.47,50.53,76.55,NA,HarvardX,NA,NA,NA
HSPH-HMS214x,10,14,Fundamentals of Clinical Trials,"James Ware, Elliott Antman, Julie Buring, Graham McMahon, Marcia Testa, Robert Truog","Government, Health, and Social Science",2,1,28384,5037,2407,60.92,11.07,22.68,104.37,20.2,31,54.95,45.05,86.27,NA,HarvardX,NA,NA,NA
6.002x,10,16,Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",2,1,21387,1269,379,63.3,3.18,10.04,117.84,81.11,25,89.29,10.71,57.18,NA,MITx,NA,NA,NA
6.00.1x,10,16,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,2,1,57147,8248,4975,76.86,9.47,43.16,523.56,53.05,28,82.95,17.05,62.73,NA,MITx,NA,NA,NA
2.03x,10,28,Dynamics and Control I,David Gossard,"Science, Technology, Engineering, and Mathematics",2,1,18424,2079,398,61.3,3.16,19.71,60.99,43.14,25,88.6,11.4,58.89,NA,MITx,NA,NA,NA
SW12.1x,10,31,The Political and Intellectual Foundations of China,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,47384,8234,3692,78.7,12.61,32.62,145.08,13.89,29,59.22,40.78,74.91,NA,HarvardX,NA,NA,NA
AI12.1x,10,31,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",2,0,6446,2873,0,69.68,15.91,0,13.89,0,32,40.81,59.19,69.5,NA,HarvardX,NA,NA,NA
PH201x,11,15,Health and Society,Ichiro Kawachi,"Government, Health, and Social Science",2,1,20914,5647,3321,66.94,12.98,43.94,99.29,17.8,30,47.38,52.62,73.95,NA,HarvardX,NA,NA,NA
CS50x,1,1,Introduction to Computer Science,David Malan,Computer Science,3,1,259577,22894,1208,72.41,0,0,853.36,0,27,77.89,22.11,54.82,NA,NA,HarvardX,NA,NA
SW12.2x,1,2,The Creation and End of a Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,12856,4374,2640,75.9,20.89,43.29,68.25,13.77,33,60.59,39.41,79.35,NA,NA,HarvardX,NA,NA
HDS1544.1x,1,5,Early Christianity: The Letters of Paul,Laura Nasrallah,"Humanities, History, Design, Religion, and Education",2,1,33784,4903,1549,70.79,16.74,15.68,101.83,19.41,38,59.35,40.65,74.15,NA,NA,HarvardX,NA,NA
AI12.2x,1,15,Poetry in America: Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",2,1,8685,1838,388,68.6,19.66,14.22,19.6,13.21,32,45.54,54.46,72.49,NA,NA,HarvardX,NA,NA
21W.789x,2,4,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,2,1,25886,1332,101,59.55,6.37,15.02,40.13,26.4,29,84.27,15.73,72.27,NA,NA,MITx,NA,NA
14.73x,2,4,Challenges of World Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",2,1,11102,1825,1173,70.88,11.33,35.45,84.99,42.26,29,51.48,48.52,78.8,NA,NA,MITx,NA,NA
6.041x,2,4,Introduction to Probability: The Science of Uncertainty,John Tsitsiklis,"Science, Technology, Engineering, and Mathematics",2,1,26364,2927,592,65.57,3.98,17.78,224.14,120.16,28,83.54,16.46,73.15,NA,NA,MITx,NA,NA
SW12.3x,2,13,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,7422,3221,2226,77.16,29.14,50.29,33.76,8.99,34,58.97,41.03,79.4,NA,NA,HarvardX,NA,NA
12.340x,2,19,Global Warming Science,Kerry Emanuel,"Science, Technology, Engineering, and Mathematics",2,1,7905,1694,452,66.36,9.73,33.57,55.04,42.54,30,70.67,29.33,76.36,NA,NA,MITx,NA,NA
6.00.1x,2,19,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,2,1,21063,3965,1920,74.21,9.28,43.66,188.51,48.42,27,83.51,16.49,63.46,NA,NA,MITx,NA,NA
SW25x,2,25,Global Health: Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",2,1,8256,2293,1266,62.97,21.56,39.12,39.34,18.49,30,41.1,58.9,80.59,NA,NA,HarvardX,NA,NA
15.071x,3,4,The Analytics Edge,Dimitris Bertsimas,"Government, Health, and Social Science",2,1,31391,4782,1790,73.93,6.68,21.51,313.27,81.94,31,81,19,87.62,NA,NA,MITx,NA,NA
16.110x,3,5,Flight Vehicle Aerodynamics,Mark Drela,"Science, Technology, Engineering, and Mathematics",2,1,11883,692,101,47.62,2.95,6.19,34.28,112.92,25,91.48,8.52,60.98,NA,NA,MITx,NA,NA
6.00.2x,3,5,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",Computer Science,2,1,13148,2512,1502,69.27,7.33,32.57,97.28,38.44,29,87.9,12.1,74.21,NA,NA,MITx,NA,NA
GSE1x,3,11,Unlocking the Immunity to Change,"Robert Kegan, Lisa Lahey","Humanities, History, Design, Religion, and Education",2,1,39319,4063,1851,66.34,23.15,42.36,159.84,25.29,36,46.37,53.63,80.08,NA,NA,HarvardX,NA,NA
15.390x,3,18,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",2,1,36330,9197,2043,73.84,15.46,10.48,108.97,10.46,30,75.09,24.91,74.9,NA,NA,MITx,NA,NA
SW12.4x,3,20,A New National Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,6753,2552,1788,76.01,22.71,45.74,34.82,11.42,34,60.51,39.49,80.78,NA,NA,HarvardX,NA,NA
HAA1x,3,22,HarvardX for Alumni: Explorations in Learning,Rob Lue,"Humanities, History, Design, Religion, and Education",2,0,7156,781,0,69.79,3.07,0,7.23,0,53,56.79,43.21,98.11,NA,NA,HarvardX,NA,NA
BUS5.1x,3,31,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",2,1,12621,2493,602,59.76,0,7.64,27.85,11.15,32,65.49,34.51,86.02,NA,NA,HarvardX,NA,NA
JPAL 101x,4,1,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",2,1,7382,2046,980,65.09,16.82,34.69,46.04,21.46,32,51.36,48.64,90.32,NA,NA,MITx,NA,NA
PH525x,4,7,Data Analysis for Genomics,Rafael Irizarry,"Government, Health, and Social Science",2,1,13708,3620,651,70.94,3.77,34.62,58.19,25.79,31,67.66,32.34,89.69,NA,NA,HarvardX,NA,NA
HSPH210x,4,7,United States Health Policy,John McDonough,"Government, Health, and Social Science",2,1,10225,1550,763,58.94,10.05,29.84,47.9,26.57,30,51.01,48.99,82.13,NA,NA,HarvardX,NA,NA
ER22.1x,4,8,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",2,1,35409,4767,2485,67.31,19.05,17.85,145.01,20.13,29,58,42,67.17,NA,NA,HarvardX,NA,NA
6.SFMx,4,8,Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang","Science, Technology, Engineering, and Mathematics",2,1,27882,3464,567,66.49,5.74,20.52,56.9,28.32,29,84.17,15.83,66.85,NA,NA,MITx,NA,NA
SW12.5x,4,24,From Global Empire to Global Economy,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,5256,2649,1686,75.32,28.69,48.95,24.76,9.09,35,64.35,35.65,82.04,NA,NA,HarvardX,NA,NA
MAS.S69x,5,12,Big Data and Social Physics,Sandy Pentland,"Government, Health, and Social Science",2,1,30456,9494,4055,64.8,4.67,13.31,34.79,2.1,30,80.39,19.61,81.37,NA,NA,MITx,NA,NA
3.091x,5,12,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",2,1,5854,532,269,72.02,6.01,26.84,55.2,89.94,26,73.88,26.12,55.19,NA,NA,MITx,NA,NA
SW12.6x,5,22,The Last Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,5446,2244,1637,76.75,24.22,49.72,31.69,11.7,35,60.97,39.03,80.56,NA,NA,HarvardX,NA,NA
8.MREV,5,29,Mechanics Review,David Pritchard,"Science, Technology, Engineering, and Mathematics",2,1,12939,754,502,13.25,6.01,17.97,86.76,80.06,25,84.2,15.8,53.49,NA,NA,MITx,NA,NA
USW30x,6,2,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",2,1,10737,2550,1090,74.69,27.55,34.06,22.82,7.34,34,37.38,62.62,74.88,NA,NA,HarvardX,NA,NA
2.01x,6,3,Elements of Structures,Simona Socrate,"Science, Technology, Engineering, and Mathematics",2,1,6140,1061,333,70.07,9.54,18.66,62.01,78.56,26,85.77,14.23,64.26,NA,NA,MITx,NA,NA
6.00.1x,6,11,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,2,1,22148,4460,2307,76.74,10.81,48.86,232.93,49.69,27,81.69,18.31,61.96,NA,NA,MITx,NA,NA
7.QBWx,6,12,Quantitative Biology Workshop,Marry Ellen Wiltrout,"Science, Technology, Engineering, and Mathematics",2,1,5092,1027,392,67.07,12.02,26.1,39.96,36.44,29,64.41,35.59,76.43,NA,NA,MITx,NA,NA
7.00x,6,17,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",2,1,15627,2357,940,73.58,14.57,24.62,182.26,70.28,28,57.9,42.1,59.85,NA,NA,MITx,NA,NA
7.00x,6,17,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",3,0,10755,895,0,60.52,0.01,0,59.23,0,26,58.14,41.86,60.92,NA,NA,MITx,NA,NA
GSE2x,7,8,Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",2,1,36805,7752,3942,73.66,20.46,30.58,103.05,12.71,31,54.3,45.7,77.57,NA,NA,HarvardX,NA,NA
6.002x,8,25,Circuits and Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",3,1,19263,1300,482,64.03,4.96,15.98,129.34,95.58,25,88.07,11.93,56.39,NA,NA,MITx,NA,NA
6.00.1x,8,27,Introduction to Computer Science and Programming,Eric Grimson,Computer Science,3,1,21017,4143,2127,76.87,9.7,50.09,206.46,48.26,27,83.23,16.77,65.39,NA,NA,MITx,NA,NA
HUM2.1x,9,2,The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,7304,1832,775,68.7,4.47,18.79,17.31,8.99,34,49.86,50.14,72.97,NA,NA,HarvardX,NA,NA
VJx,9,3,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",John W. Dower,"Humanities, History, Design, Religion, and Education",3,1,8493,2137,1183,50.77,14.16,38.2,20.45,8.54,31,55.73,44.27,74.67,NA,NA,HarvardX,NA,NA
3.032x,9,3,Mechanical Behavior of Materials,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",3,1,11841,1532,502,62.87,4.9,13.95,81.04,63.12,25,84.01,15.99,65.85,NA,NA,MITx,NA,NA
3.091x,9,3,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",3,1,5245,367,164,65.43,9.4,20.29,38.86,93.19,26,75.38,24.62,60.54,NA,NA,MITx,NA,NA
SW12.7x,9,4,"Invasions, Rebellions, and the end of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,4662,2148,1505,80.08,33.98,52.26,22.93,8.68,38,63.87,36.13,82.25,NA,NA,HarvardX,NA,NA
1368.1x,9,8,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3,1,3853,969,391,67.67,16.02,31.5,9.36,10.2,32,44.07,55.93,81.88,NA,NA,HarvardX,NA,NA
AMPOx.1,9,10,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",3,1,2820,1306,153,70.15,19.12,22.35,7.68,13.08,32,43.8,56.2,68.15,NA,NA,HarvardX,NA,NA
HUM2.2x,9,14,The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,2310,839,510,47.87,5,32.67,6.77,4.8,35,49.28,50.72,69.74,NA,NA,HarvardX,NA,NA
GSE1.1x,9,16,Unlocking the Immunity to Change: A New Approach to Personal Improvement,"Robert Kegan (Bob), Lisa Lahey","Humanities, History, Design, Religion, and Education",3,1,13305,1798,699,65.64,22.34,38.16,51.77,20.99,37,43.21,56.79,80.95,NA,NA,HarvardX,NA,NA
PH555x,9,16,Improving Global Health: Focusing on Quality and Safety,Ashish K. Jha,"Government, Health, and Social Science",3,1,9010,2166,1494,58.71,22.92,39.8,40.6,15.92,31,49.87,50.13,82.7,NA,NA,HarvardX,NA,NA
8.EFTx,9,16,Effective Field Theory,Iain Stewart,"Science, Technology, Engineering, and Mathematics",3,1,7093,285,12,57.48,1.97,3,16.85,107.09,27,88.83,11.17,72.54,NA,NA,MITx,NA,NA
4.605x,9,23,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",3,1,7052,1093,543,61.06,7.54,30.01,54.46,51.76,29,48.56,51.44,74.88,NA,NA,MITx,NA,NA
AT1x,9,30,AnatomyX: Musculoskeletal Cases,Trudy Van Houten,"Science, Technology, Engineering, and Mathematics",3,1,26086,4637,1583,74.36,2.73,34.46,88.43,15.3,27,50.95,49.05,62.09,NA,NA,HarvardX,NA,NA
ESD.SCM1x,9,30,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",3,1,25600,5098,2184,73.89,16.59,19.88,255.4,61.42,30,77.04,22.96,84.04,NA,NA,MITx,NA,NA
24.00x,9,30,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",3,1,20109,3949,488,70.61,14.78,27.84,65.35,33.14,28,66.54,33.46,62.77,NA,NA,MITx,NA,NA
JPAL 101x,10,1,Evaluating Social Programs,Rachel Glennerster,"Government, Health, and Social Science",3,1,5321,1558,565,65.42,10.92,36.68,26.71,22.16,31,48.91,51.09,91.41,NA,NA,MITx,NA,NA
6.832x,10,1,Underactuated Robotics,Russ Tedrake,"Science, Technology, Engineering, and Mathematics",3,1,11074,1599,136,67.84,3.75,8.39,41.65,61.21,25,91.97,8.03,61.38,NA,NA,MITx,NA,NA
HUM2.3x,10,8,The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,1559,697,417,43.18,2.9,33.72,3.2,1.77,34,50.35,49.65,66.91,NA,NA,HarvardX,NA,NA
11.132x,10,8,Design and Development of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",3,1,15942,3481,1630,67.16,0.01,10.31,44.73,7.46,33,61.33,38.67,83.01,NA,NA,MITx,NA,NA
SW12.8x,10,9,Creating China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,4515,2081,1528,78.36,31.46,51.05,23.92,9.54,37,64.33,35.67,82.68,NA,NA,HarvardX,NA,NA
6.00.2x,10,21,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,3,1,11690,2231,1259,71.12,7.7,35.32,81,38.46,29,87.33,12.67,74.6,NA,NA,MITx,NA,NA
HUM2.4x,10,22,The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,1615,617,376,40.89,4.6,31.95,3.63,1.42,33,50.28,49.72,68.89,NA,NA,HarvardX,NA,NA
AMPOx.2,10,22,"Poetry in America: Nature and Nation, American Poetry, 1700-1850",Elisa New,"Humanities, History, Design, Religion, and Education",3,1,1911,661,149,67.98,15.12,22.26,6.58,13.19,37,40.62,59.38,75.54,NA,NA,HarvardX,NA,NA
11.126x,10,22,Introduction to Game Design,Eric Klopfer,"Humanities, History, Design, Religion, and Education",3,1,25569,3210,1480,63.42,0,6.31,50.33,7.51,26,82.01,17.99,57.7,NA,NA,MITx,NA,NA
1368.2x,10,27,"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",3,1,1275,516,304,59.65,21.43,42.23,3.28,5.93,35,47.3,52.7,85.23,NA,NA,HarvardX,NA,NA
SW47.1x,10,30,Entrepreneurship and Healthcare in Emerging Economies,Tarun Khanna,"Government, Health, and Social Science",3,1,10332,969,598,43.82,13.03,18.15,17.21,10.41,28,63.04,36.96,78.58,NA,NA,HarvardX,NA,NA
HUM2.5x,11,12,The Ancient Greek Hero: Plato and Beyond,Gregory Nagy,"Humanities, History, Design, Religion, and Education",3,1,2201,694,367,43.41,3.41,24,2.41,1.52,34,53.43,46.57,71.9,NA,NA,HarvardX,NA,NA
9.01x,11,18,"Light, Spike, and Sight: The Neuroscience of Vision",Sebastian Seung,"Science, Technology, Engineering, and Mathematics",3,1,7000,1398,505,69.4,8.1,24.7,18.49,9.19,29,66.11,33.89,70.22,NA,NA,MITx,NA,NA
SW12.9x,11,20,Communist Liberations,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3,1,4248,1835,1442,79.76,30.14,50.49,23.03,9.76,37,67.11,32.89,82.98,NA,NA,HarvardX,NA,NA
CS50x,1,1,Introduction to Computer Science,David Malan,Computer Science,3,1,301082,25637,1523,67.8,0,0,275.96,0,25,77.68,22.32,51.95,NA,NA,NA,HarvardX,NA
